Date,MICROSOFT,SANDP,CPI,INDPRO,M1SUPPLY,CCREDIT,BMINUSA,USTB3M,USTB10Y
Mar-86,0.10,238.90,108.80,56.54,624.30,606.80,1.50,6.76,7.78
Apr-86,0.11,235.52,108.60,56.57,647.00,614.37,1.40,6.24,7.30
May-86,0.12,247.35,108.90,56.69,645.70,621.92,1.20,6.33,7.71
Jun-86,0.11,250.84,109.50,56.50,662.80,627.89,1.21,6.40,7.80
Jul-86,0.10,236.12,109.50,56.81,673.40,633.61,1.28,6.00,7.30
Aug-86,0.10,252.93,109.70,56.73,678.40,640.51,1.46,5.69,7.17
Sep-86,0.10,231.32,110.20,56.85,684.50,649.89,1.31,5.35,7.45
Oct-86,0.13,243.98,110.30,57.12,692.20,656.74,1.38,5.32,7.43
Nov-86,0.17,249.22,110.40,57.38,708.80,656.90,1.39,5.50,7.25
Dec-86,0.17,242.17,110.50,57.86,739.80,666.36,1.48,5.68,7.11
Jan-87,0.25,274.08,111.20,57.69,737.10,655.33,1.36,5.58,7.08
Feb-87,0.27,284.20,111.60,58.44,717.10,648.08,1.27,5.75,7.25
Mar-87,0.34,291.70,112.10,58.52,723.10,644.32,1.25,5.77,7.25
Apr-87,0.36,288.36,112.70,58.89,752.00,651.11,1.19,5.82,8.02
May-87,0.40,290.10,113.10,59.27,739.30,654.39,1.18,5.85,8.61
Jun-87,0.35,304.00,113.50,59.54,743.80,660.31,1.20,5.85,8.40
Jul-87,0.33,318.66,113.80,59.96,746.20,665.71,1.19,5.88,8.45
Aug-87,0.41,329.80,114.40,60.45,744.20,673.74,1.13,6.23,8.76
Sep-87,0.46,321.83,115.00,60.61,744.50,679.64,1.13,6.62,9.42
Oct-87,0.35,251.79,115.30,61.49,753.20,683.71,1.10,6.35,9.52
Nov-87,0.31,230.30,115.40,61.82,755.50,687.82,1.22,5.89,8.86
Dec-87,0.38,247.08,115.40,62.11,765.40,698.64,1.18,5.96,8.99
Jan-88,0.39,257.07,115.70,62.14,764.20,695.23,1.19,6.00,8.67
Feb-88,0.41,267.82,116.00,62.41,744.50,692.51,1.22,5.84,8.21
Mar-88,0.39,258.89,116.50,62.55,751.60,693.73,1.18,5.87,8.37
Apr-88,0.38,261.33,117.10,62.90,777.90,700.63,1.23,6.08,8.72
May-88,0.40,262.16,117.50,62.82,763.40,705.43,1.14,6.45,9.09
Jun-88,0.47,273.50,118.00,62.98,778.50,710.13,1.14,6.66,8.92
Jul-88,0.41,272.02,118.50,63.00,785.50,713.71,1.15,6.95,9.06
Aug-88,0.35,261.52,119.00,63.28,781.00,722.93,1.10,7.30,9.26
Sep-88,0.36,271.91,119.80,63.11,779.70,725.84,1.08,7.48,8.98
Oct-88,0.34,278.97,120.20,63.41,780.80,728.13,0.90,7.60,8.80
Nov-88,0.33,273.70,120.30,63.52,786.90,732.67,1.03,8.03,8.96
Dec-88,0.37,277.72,120.50,63.82,803.10,745.21,1.08,8.35,9.11
Jan-89,0.41,297.47,121.10,64.01,792.10,753.01,1.03,8.56,9.09
Feb-89,0.41,288.86,121.60,63.72,771.60,749.70,0.97,8.84,9.17
Mar-89,0.35,294.87,122.30,63.87,774.60,753.19,0.87,9.14,9.36
Apr-89,0.39,309.64,123.10,63.92,790.20,759.28,0.82,8.96,9.18
May-89,0.42,320.52,123.80,63.48,766.10,764.08,0.89,8.74,8.86
Jun-89,0.37,317.98,124.10,63.51,772.80,769.62,0.93,8.43,8.28
Jul-89,0.38,346.08,124.40,62.95,780.70,773.20,0.94,8.15,8.02
Aug-89,0.41,351.45,124.60,63.52,776.50,780.19,0.92,8.17,8.11
Sep-89,0.48,349.15,125.00,63.30,777.70,784.21,0.90,8.01,8.19
Oct-89,0.57,340.36,125.60,63.25,783.20,787.05,0.89,7.90,8.01
Nov-89,0.60,345.99,125.90,63.46,790.20,793.17,0.92,7.94,7.87
Dec-89,0.60,353.40,126.10,63.85,810.60,809.29,0.96,7.88,7.84
Jan-90,0.64,329.08,127.40,63.42,800.70,802.84,0.95,7.90,8.21
Feb-90,0.69,331.89,128.00,64.05,786.70,796.35,0.92,8.00,8.47
Mar-90,0.77,339.94,128.70,64.36,794.50,792.32,0.84,8.17,8.59
Apr-90,0.81,330.80,128.90,64.26,816.20,793.29,0.84,8.04,8.79
May-90,1.01,361.23,129.20,64.40,795.50,794.02,0.94,8.01,8.76
Jun-90,1.06,358.02,129.90,64.61,809.00,798.71,0.96,7.99,8.48
Jul-90,0.92,356.15,130.40,64.53,811.00,803.03,0.96,7.87,8.47
Aug-90,0.85,322.56,131.60,64.73,812.70,809.53,1.00,7.69,8.75
Sep-90,0.88,306.05,132.70,64.81,817.10,812.30,1.08,7.60,8.89
Oct-90,0.89,304.00,133.50,64.33,816.10,813.61,1.21,7.40,8.72
Nov-90,1.00,322.22,133.80,63.57,824.60,816.44,1.32,7.29,8.39
Dec-90,1.05,330.22,133.80,63.16,842.70,824.39,1.38,6.95,8.08
Jan-91,1.36,343.93,134.60,62.88,831.70,812.74,1.41,6.41,8.09
Feb-91,1.44,367.07,134.80,62.45,822.10,805.20,1.24,6.12,7.85
Mar-91,1.47,375.22,135.00,62.12,833.70,802.21,1.16,6.09,8.11
Apr-91,1.38,375.34,135.20,62.25,851.90,802.18,1.08,5.83,8.04
May-91,1.52,389.83,135.60,62.87,840.30,801.64,1.00,5.63,8.07
Jun-91,1.42,371.16,136.00,63.44,856.70,801.31,0.95,5.75,8.28
Jul-91,1.53,387.81,136.20,63.51,860.90,799.43,0.89,5.75,8.27
Aug-91,1.78,395.43,136.60,63.56,863.20,802.12,0.90,5.50,7.90
